Per call time  -  Saturday 12 @ 14:03

  calls      time  function
    178    0.0000  _compiler.py:216(_compile_charset)
     38    0.0000  <frozen importlib._bootstrap_external>:1353(_recalculate)
    689    0.0000  {method 'find' of 'bytearray' objects}
    106    0.0000  {built-in method _imp.is_builtin}
    574    0.0000  gridlayout.py:102(nmax)
     95    0.0000  <frozen importlib._bootstrap_external>:1588(_get_spec)
      1    0.0000  new_task_screen.py:25(__init__)
     19    0.0000  _handler.py:127(emit)
     17    0.0000  widget.py:592(on_touch_move)
    501    0.0000  {method 'append' of 'collections.deque' objects}
     53    0.0000  {built-in method builtins.__import__}
     27    0.0000  containers.py:45(_update)
     71    0.0000  __init__.py:741(_get_effective_size)
    540    0.0000  <frozen importlib._bootstrap_external>:134(<genexpr>)
     12    0.0000  kinetic.py:117(__init__)
     94    0.0000  <frozen importlib._bootstrap_external>:611(_get_cached)
    108    0.0000  <frozen importlib._bootstrap>:162(__enter__)
    721    0.0000  _parser.py:164(__len__)
     13    0.0000  scrollview.py:1157(_bind_inactive_bar_color)
     75    0.0000  button.py:161(on_touch_up)
     66    0.0000  __init__.py:1011(handle)
     80    0.0000  enum.py:1562(__and__)
     12    0.0000  fields.py:326(_update)
     56    0.0000  scrollview.py:623(_update_effect_x)
    992    0.0000  clock.py:801(get_time)
      1    0.0000  select_alarm_screen.py:20(__init__)
     24    0.0000  button.py:137(on_touch_down)
     43    0.0000  widget.py:477(collide_point)
    768    0.0000  _binary.py:25(o8)
    219    0.0000  __init__.py:342(_migrate_deprecated_padding_xy)
    110    0.0000  <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      1    0.0000  select_date_screen.py:23(__init__)
    532    0.0000  _parser.py:176(append)
    542    0.0000  _parser.py:293(tell)
     77    0.0000  __init__.py:420(_get_size)
     19    0.0000  _datetime.py:19(_loguru_datetime_formatter)
     53    0.0000  widget.py:1566(set_disabled)
     40    0.0000  _compiler.py:740(compile)
    275    0.0000  enum.py:79(_is_private)
    106    0.0000  {built-in method _thread.allocate_lock}
     40    0.0000  _compiler.py:511(_compile_info)
      5    0.0000  screenmanager.py:361(start)
    108    0.0000  <frozen importlib._bootstrap>:74(__new__)
    259    0.0000  <frozen importlib._bootstrap>:645(parent)
    153    0.0000  <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     13    0.0000  gridlayout.py:322(_init_rows_cols_sizes)
      3    0.0000  textinput.py:517(__init__)
    108    0.0000  <frozen importlib._bootstrap>:79(__init__)
     22    0.0000  __init__.py:1746(callHandlers)
    461    0.0000  {method 'replace' of 'str' objects}
    364    0.0000  {method 'pop' of 'dict' objects}
    106    0.0000  <frozen importlib._bootstrap>:416(__enter__)
      5    0.0000  textinput.py:752(insert_text)
